timestamp,gpu_0_power_w,total_power_w
1769561713.7499661,130.088,130.088
1769561714.252329,130.196,130.196
1769561714.7525778,154.465,154.465
1769561715.2527542,240.94,240.94
1769561715.9347167,284.811,284.811
1769561716.4348936,289.595,289.595
1769561716.935064,334.269,334.269
1769561717.6297843,291.873,291.873
1769561718.1302214,287.077,287.077
1769561718.6303952,304.277,304.277
1769561719.339276,300.027,300.027
1769561719.8400326,292.541,292.541
1769561720.3402731,327.566,327.566
1769561720.9729407,321.672,321.672
1769561721.5518324,299.101,299.101
1769561722.052667,306.71,306.71
1769561722.5528584,323.711,323.711
1769561723.186679,310.955,310.955
1769561723.687371,285.354,285.354
1769561724.1875484,309.005,309.005
1769561724.8285947,287.337,287.337
1769561725.3287923,295.045,295.045
1769561725.828998,292.956,292.956
1769561726.4892113,294.055,294.055
1769561726.9894323,287.22,287.22
1769561727.4897707,321.544,321.544
1769561727.9901903,367.343,367.343
1769561728.681446,310.429,310.429
1769561729.1826322,286.744,286.744
1769561729.682769,286.794,286.794
1769561730.182892,284.938,284.938
1769561730.6829958,297.932,297.932
1769561731.1831381,328.032,328.032
1769561731.866831,281.093,281.093
1769561732.3677576,283.619,283.619
1769561732.8680596,329.807,329.807
1769561733.5271134,323.847,323.847
1769561734.0344136,278.859,278.859
1769561734.5347378,283.395,283.395
1769561735.0350199,286.452,286.452
1769561735.5353177,304.117,304.117
1769561736.0355496,294.801,294.801
1769561736.5358183,283.159,283.159
1769561737.0360553,322.317,322.317
1769561737.6595683,314.616,314.616
1769561738.1607523,295.9,295.9
1769561738.6612136,304.633,304.633
1769561739.274543,311.43,311.43
1769561739.7752018,306.4,306.4
1769561740.275385,351.113,351.113
1769561740.8809576,304.434,304.434
1769561741.381179,303.68,303.68
1769561741.881374,328.776,328.776
1769561742.381612,311.877,311.877
1769561742.8818305,312.828,312.828
1769561743.5465565,298.365,298.365
1769561744.0474644,292.162,292.162
1769561744.5476398,293.709,293.709
1769561745.2131095,308.419,308.419
1769561745.7138877,288.439,288.439
1769561746.2140872,306.529,306.529
1769561746.8639321,294.469,294.469
1769561747.364632,300.756,300.756
1769561747.8647935,346.859,346.859
1769561748.5007722,315.615,315.615
1769561749.0038233,305.706,305.706
1769561749.504003,299.554,299.554
1769561750.0042484,325.208,325.208
1769561750.6069722,323.367,323.367
1769561751.1071684,291.084,291.084
1769561751.6074343,319.048,319.048
1769561752.2265687,326.032,326.032
1769561752.7274582,294.187,294.187
1769561753.2276502,284.58,284.58
1769561753.7278454,304.17,304.17
1769561754.3672678,287.516,287.516
1769561754.8674371,303.248,303.248
1769561755.3675878,338.267,338.267
1769561755.8677585,355.136,355.136
1769561756.5091045,302.962,302.962
1769561757.0100863,281.113,281.113
1769561757.550558,306.182,306.182
1769561758.098432,232.749,232.749
1769561758.6312726,197.269,197.269
1769561759.1703434,195.541,195.541
1769561759.6945527,199.04,199.04
1769561760.2374773,196.291,196.291
1769561760.7551575,189.281,189.281
1769561761.2969737,197.489,197.489
1769561761.819442,199.101,199.101
1769561762.3449624,197.706,197.706
1769561762.8899539,197.055,197.055
1769561763.4248521,194.168,194.168
1769561763.956627,194.86,194.86
1769561764.480139,197.121,197.121
1769561765.0101829,202.654,202.654
1769561765.544014,198.336,198.336
1769561766.082967,196.195,196.195
1769561766.6014915,200.301,200.301
1769561767.1023324,204.392,204.392
1769561767.6361043,203.442,203.442
1769561768.1617439,201.268,201.268
1769561768.6787984,203.121,203.121
1769561769.207502,184.372,184.372
1769561769.7473156,183.343,183.343
1769561770.2618809,201.542,201.542
1769561770.7843175,200.819,200.819
1769561771.3274987,202.501,202.501
1769561771.851484,198.179,198.179
1769561772.3692884,198.542,198.542
1769561772.9032407,198.41,198.41
1769561773.4406674,196.622,196.622
1769561773.9408708,196.136,196.136
1769561774.4501948,196.51,196.51
1769561774.9644585,193.738,193.738
1769561775.5010428,197.565,197.565
1769561776.0392258,199.189,199.189
1769561776.5526235,199.296,199.296
1769561777.0797014,203.734,203.734
1769561777.6004167,200.044,200.044
1769561778.1408668,198.177,198.177
1769561778.687399,198.216,198.216
1769561779.2030032,198.169,198.169
1769561779.735775,201.823,201.823
1769561780.2748742,199.938,199.938
1769561780.792729,203.078,203.078
1769561781.311339,201.142,201.142
1769561781.8504815,198.154,198.154
1769561782.352712,193.242,193.242
1769561782.8576515,196.249,196.249
1769561783.384106,201.81,201.81
1769561783.912639,198.58,198.58
1769561784.4292004,198.97,198.97
1769561784.958484,200.315,200.315
1769561785.475786,201.124,201.124
1769561785.994744,197.684,197.684
1769561786.5345309,199.395,199.395
1769561787.0683773,201.643,201.643
1769561787.5685313,203.358,203.358
1769561788.088916,202.175,202.175
1769561788.6114733,200.209,200.209
1769561789.1196923,200.076,200.076
1769561789.6428132,197.444,197.444
1769561790.167545,201.227,201.227
1769561790.6801188,202.189,202.189
1769561791.2404304,197.016,197.016
1769561791.7752283,193.967,193.967
1769561792.3010883,196.328,196.328
1769561792.8551095,198.385,198.385
1769561793.374874,197.536,197.536
1769561793.8922966,200.695,200.695
1769561794.4578307,199.81,199.81
1769561794.9786594,196.601,196.601
1769561795.4992383,201.311,201.311
1769561796.027631,196.009,196.009
1769561796.5700774,197.423,197.423
