timestamp,gpu_0_power_w,total_power_w
1769378134.5205965,125.008,125.008
1769378135.020944,124.992,124.992
1769378135.5210667,139.89,139.89
1769378136.021164,289.104,289.104
1769378136.5212574,516.772,516.772
1769378137.258667,494.865,494.865
1769378137.758868,391.968,391.968
1769378138.2593505,522.703,522.703
1769378138.8672006,557.389,557.389
1769378139.3673701,494.727,494.727
1769378139.867491,624.736,624.736
1769378140.3942833,557.595,557.595
1769378140.8951597,479.359,479.359
1769378141.3953114,616.102,616.102
1769378141.8989658,568.622,568.622
1769378142.3996058,486.668,486.668
1769378142.8997264,608.724,608.724
1769378143.428295,593.84,593.84
1769378143.9285197,500.978,500.978
1769378144.428641,619.721,619.721
1769378144.9575524,592.232,592.232
1769378145.4576855,471.367,471.367
1769378145.9578035,578.832,578.832
1769378146.47776,557.215,557.215
1769378146.9778962,486.638,486.638
1769378147.4779942,634.446,634.446
1769378147.985834,560.486,560.486
1769378148.4859474,523.206,523.206
1769378148.9860501,658.788,658.788
1769378149.4894779,521.587,521.587
1769378149.989636,508.371,508.371
1769378150.4897358,616.989,616.989
1769378150.9898465,542.032,542.032
1769378151.489959,522.009,522.009
1769378151.990064,683.818,683.818
1769378152.4901972,517.032,517.032
1769378152.9903557,526.761,526.761
1769378153.4904706,696.688,696.688
1769378153.990602,512.476,512.476
1769378154.4907646,524.431,524.431
1769378154.9909165,698.959,698.959
1769378155.4911048,470.325,470.325
1769378155.9912572,457.487,457.487
1769378156.4913764,681.054,681.054
1769378156.9914882,516.594,516.594
1769378157.4916172,522.201,522.201
1769378157.991725,690.395,690.395
1769378158.4918559,523.851,523.851
1769378158.9919803,531.149,531.149
1769378159.4920743,691.634,691.634
1769378159.9921677,537.403,537.403
1769378160.6007905,332.091,332.091
1769378161.2289197,371.878,371.878
1769378161.7290404,649.746,649.746
1769378162.229158,542.637,542.637
1769378162.7292702,524.126,524.126
1769378163.2294168,683.509,683.509
1769378163.7295697,519.657,519.657
1769378164.2297463,523.625,523.625
1769378164.7298603,698.774,698.774
1769378165.230039,484.862,484.862
1769378165.7301924,486.151,486.151
1769378166.2303627,692.839,692.839
1769378166.7304847,500.423,500.423
1769378167.2307947,495.834,495.834
1769378167.7309663,684.527,684.527
1769378168.2311282,524.937,524.937
1769378168.7312956,511.506,511.506
1769378169.2314425,678.219,678.219
1769378169.731564,506.323,506.323
1769378170.2316935,492.89,492.89
1769378170.7318287,660.692,660.692
1769378171.2319572,512.474,512.474
1769378171.7320652,491.359,491.359
1769378172.2321894,669.249,669.249
1769378172.7323177,510.063,510.063
1769378173.2324321,502.247,502.247
1769378173.7326107,691.347,691.347
1769378174.2328455,520.689,520.689
1769378174.7329617,487.22,487.22
1769378175.2330818,679.108,679.108
1769378175.7374,507.586,507.586
1769378176.2391434,485.518,485.518
1769378176.739263,655.944,655.944
1769378177.2393966,516.294,516.294
1769378177.7395248,499.333,499.333
1769378178.2396622,684.244,684.244
1769378178.74244,510.029,510.029
1769378179.2427216,498.951,498.951
1769378179.742858,682.328,682.328
1769378180.2429762,516.131,516.131
1769378180.743094,485.369,485.369
1769378181.2432423,665.063,665.063
1769378181.7452397,522.611,522.611
1769378182.2454052,494.329,494.329
1769378182.7456803,664.615,664.615
1769378183.2472382,527.512,527.512
1769378183.74737,491.76,491.76
1769378184.2475286,653.625,653.625
1769378184.7476606,624.463,624.463
1769378185.3185298,467.289,467.289
1769378185.8186924,422.267,422.267
1769378186.3188126,578.065,578.065
1769378186.823493,587.658,587.658
1769378187.3236487,481.577,481.577
1769378187.8237765,587.552,587.552
1769378188.3271315,600.872,600.872
1769378188.8272572,498.928,498.928
1769378189.3273926,588.022,588.022
1769378189.8282402,598.591,598.591
1769378190.3283541,516.345,516.345
1769378190.828502,604.769,604.769
1769378191.3286383,558.019,558.019
1769378191.828759,525.59,525.59
1769378192.328987,664.426,664.426
1769378192.8291688,534.797,534.797
1769378193.3294024,525.834,525.834
1769378193.8296041,684.655,684.655
1769378194.3297727,520.988,520.988
1769378194.8299513,522.182,522.182
1769378195.3300965,694.98,694.98
1769378195.8302472,514.889,514.889
1769378196.330404,519.934,519.934
1769378196.8305347,690.294,690.294
1769378197.3306737,522.338,522.338
1769378197.8308117,533.648,533.648
1769378198.5617511,583.522,583.522
1769378199.0619195,506.225,506.225
1769378199.562067,626.045,626.045
1769378200.0627515,569.694,569.694
1769378200.5628922,497.384,497.384
1769378201.0630372,630.506,630.506
1769378201.5632422,558.86,558.86
1769378202.0633624,480.836,480.836
1769378202.563524,619.213,619.213
1769378203.0663106,571.506,571.506
1769378203.566541,482.793,482.793
1769378204.0667071,602.806,602.806
1769378204.5668564,536.634,536.634
1769378205.0669944,501.28,501.28
1769378205.5671568,639.267,639.267
1769378206.0707726,567.49,567.49
1769378206.5709133,484.667,484.667
1769378207.0710583,629.996,629.996
1769378207.7017455,519.315,519.315
1769378208.201892,395.66,395.66
1769378208.7020059,578.425,578.425
1769378209.2021465,651.336,651.336
1769378209.8584468,424.81,424.81
1769378210.3586462,433.477,433.477
1769378210.8588686,618.397,618.397
1769378211.3589888,527.195,527.195
1769378211.8590903,502.63,502.63
1769378212.3591993,659.726,659.726
1769378212.8612404,542.169,542.169
1769378213.3613596,503.238,503.238
1769378213.8615546,645.454,645.454
1769378214.3754163,557.386,557.386
1769378214.8755798,491.812,491.812
1769378215.3757308,646.439,646.439
1769378215.876237,544.6,544.6
1769378216.3763506,499.43,499.43
1769378216.876495,641.088,641.088
1769378217.3844063,548.438,548.438
1769378217.8845665,489.233,489.233
1769378218.3847086,649.348,649.348
1769378218.8940413,570.698,570.698
1769378219.394196,482.393,482.393
1769378219.8943636,611.882,611.882
1769378220.3972356,549.628,549.628
1769378220.8973467,499.585,499.585
1769378221.3974738,634.908,634.908
1769378221.901722,561.309,561.309
1769378222.4018984,492.793,492.793
1769378222.9020967,626.077,626.077
1769378223.4058337,567.407,567.407
1769378223.9062233,482.017,482.017
1769378224.4065151,610.765,610.765
1769378224.9120924,575.468,575.468
1769378225.412266,488.305,488.305
1769378225.9124281,642.996,642.996
1769378226.446451,585.546,585.546
1769378226.9466863,469.94,469.94
1769378227.4468653,596.205,596.205
1769378227.9583201,574.635,574.635
1769378228.4584734,472.266,472.266
1769378228.9586306,627.004,627.004
1769378229.4679148,571.647,571.647
1769378229.9680464,497.627,497.627
1769378230.4681656,629.522,629.522
1769378230.9712436,562.72,562.72
1769378231.471398,493.222,493.222
1769378231.9715908,640.211,640.211
1769378232.490419,544.241,544.241
1769378232.9906013,473.868,473.868
1769378233.490756,627.495,627.495
1769378233.9909012,650.578,650.578
1769378234.6159167,456.825,456.825
1769378235.1161888,437.057,437.057
1769378235.6164153,600.07,600.07
1769378236.119272,559.827,559.827
1769378236.6193788,491.177,491.177
1769378237.1194878,635.352,635.352
1769378237.622253,553.041,553.041
1769378238.1224105,488.974,488.974
1769378238.6225667,627.305,627.305
1769378239.1292417,559.212,559.212
1769378239.6293495,490.181,490.181
1769378240.129472,635.725,635.725
1769378240.6322362,560.135,560.135
1769378241.132348,488.622,488.622
1769378241.632483,629.466,629.466
1769378242.1326091,548.917,548.917
1769378242.6327217,495.347,495.347
1769378243.13297,644.695,644.695
1769378243.6342444,553.464,553.464
1769378244.134391,479.567,479.567
1769378244.6345446,625.53,625.53
1769378245.1362424,572.414,572.414
1769378245.6363647,501.345,501.345
1769378246.136644,640.351,640.351
1769378246.639254,555.901,555.901
1769378247.1394234,490.926,490.926
1769378247.639568,644.252,644.252
1769378248.1397054,560.807,560.807
1769378248.639856,493.868,493.868
1769378249.1399884,607.28,607.28
1769378249.64138,539.185,539.185
1769378250.1424115,508.276,508.276
1769378250.6426892,657.396,657.396
1769378251.1518476,544.059,544.059
1769378251.6520166,496.182,496.182
1769378252.1521888,640.589,640.589
1769378252.6558096,550.434,550.434
1769378253.1560557,498.888,498.888
1769378253.6564019,642.094,642.094
1769378254.1602497,549.959,549.959
1769378254.6604,502.16,502.16
1769378255.1605413,660.123,660.123
1769378255.6606824,548.964,548.964
1769378256.160855,497.085,497.085
1769378256.661014,651.058,651.058
1769378257.1611614,541.906,541.906
1769378257.6613116,505.904,505.904
1769378258.1614501,654.062,654.062
1769378258.6615868,635.43,635.43
1769378259.3945065,359.974,359.974
1769378259.894688,357.051,357.051
1769378260.3949134,572.074,572.074
1769378260.8972476,565.646,565.646
1769378261.3973985,487.483,487.483
1769378261.8975432,606.921,606.921
1769378262.400913,582.3,582.3
1769378262.9011075,486.153,486.153
1769378263.4013445,601.165,601.165
1769378263.9052749,592.195,592.195
1769378264.405427,493.661,493.661
1769378264.905563,611.925,611.925
1769378265.4056919,594.822,594.822
1769378265.9058154,510.581,510.581
1769378266.4059722,615.269,615.269
1769378266.9078841,593.552,593.552
1769378267.4080405,479.142,479.142
1769378267.90825,588.06,588.06
1769378268.4135776,594.491,594.491
1769378268.9137106,493.261,493.261
1769378269.4138463,581.559,581.559
1769378269.9149597,595.197,595.197
1769378270.4265208,506.559,506.559
1769378270.9267123,612.861,612.861
1769378271.4332373,589.361,589.361
1769378271.9334037,504.845,504.845
1769378272.4336226,621.874,621.874
1769378272.9479542,536.663,536.663
1769378273.4481657,505.432,505.432
1769378273.9482992,666.101,666.101
1769378274.4484365,518.522,518.522
1769378274.9485643,523.978,523.978
1769378275.4487016,690.335,690.335
1769378275.9488604,537.744,537.744
1769378276.4490387,556.179,556.179
1769378276.949183,700.445,700.445
1769378277.4493248,530.447,530.447
1769378277.949471,544.099,544.099
1769378278.7795358,525.08,525.08
1769378279.2797773,474.262,474.262
1769378279.7799187,641.553,641.553
1769378280.282276,555.26,555.26
1769378280.7825272,535.861,535.861
1769378281.282681,680.875,680.875
1769378281.7828207,519.167,519.167
1769378282.2829797,506.275,506.275
1769378282.78312,680.298,680.298
1769378283.283265,622.973,622.973
1769378283.7884347,452.538,452.538
1769378284.288677,471.631,471.631
1769378284.7888362,650.978,650.978
1769378285.289015,524.018,524.018
1769378285.7892745,524.267,524.267
1769378286.2894893,701.618,701.618
1769378286.7896795,513.256,513.256
1769378287.2898645,523.04,523.04
1769378287.7900095,692.452,692.452
1769378288.2901614,517.88,517.88
1769378288.7903552,531.418,531.418
1769378289.290509,695.235,695.235
1769378289.7906518,543.052,543.052
1769378290.2968311,424.629,424.629
1769378290.7970996,424.469,424.469
1769378291.2982578,443.057,443.057
1769378291.7984529,422.464,422.464
1769378292.2986152,425.8,425.8
1769378292.8153439,446.158,446.158
1769378293.315539,434.908,434.908
1769378293.8172545,444.464,444.464
1769378294.3174136,424.817,424.817
1769378294.8176582,386.621,386.621
1769378295.3222644,406.623,406.623
1769378295.8224144,416.203,416.203
1769378296.3656178,405.294,405.294
1769378296.8666975,421.16,421.16
1769378297.3746188,412.819,412.819
1769378297.874794,417.169,417.169
1769378298.3749344,427.133,427.133
1769378298.878246,414.199,414.199
1769378299.3787186,416.314,416.314
1769378299.8788536,413.389,413.389
1769378300.3789873,416.503,416.503
1769378300.8791296,403.785,403.785
1769378301.4102538,432.595,432.595
1769378301.9104095,446.231,446.231
1769378302.4105675,435.574,435.574
1769378302.956009,445.404,445.404
1769378303.4947228,443.21,443.21
1769378304.0375438,449.761,449.761
1769378304.5382729,434.788,434.788
1769378305.042139,428.728,428.728
1769378305.5709758,438.421,438.421
1769378306.0712206,420.184,420.184
1769378306.571466,443.594,443.594
1769378307.1059077,430.548,430.548
1769378307.6066186,428.716,428.716
1769378308.1237178,429.013,429.013
1769378308.6702447,453.056,453.056
1769378309.170389,425.313,425.313
1769378309.713262,403.133,403.133
1769378310.213825,418.597,418.597
1769378310.7161663,425.191,425.191
