timestamp,gpu_0_power_w,total_power_w
1769391744.1481435,89.465,89.465
1769391744.6488152,113.743,113.743
1769391745.1491213,124.871,124.871
1769391745.783146,124.612,124.612
1769391746.2840114,124.787,124.787
1769391746.786716,125.282,125.282
1769391747.2868865,125.714,125.714
1769391747.8082516,125.579,125.579
1769391748.308841,125.049,125.049
1769391748.809132,124.738,124.738
1769391749.309434,124.885,124.885
1769391749.8096893,125.25,125.25
1769391750.3099258,125.652,125.652
1769391750.8101795,125.524,125.524
1769391751.3104248,124.968,124.968
1769391751.8106768,124.686,124.686
1769391752.3109767,124.896,124.896
1769391752.8112774,125.326,125.326
1769391753.3115387,125.75,125.75
1769391753.8117738,125.621,125.621
1769391754.3120303,125.123,125.123
1769391754.812296,124.881,124.881
1769391755.312542,124.968,124.968
1769391755.8129513,125.353,125.353
1769391756.3135514,125.763,125.763
1769391756.8138325,125.633,125.633
1769391757.3141334,125.006,125.006
1769391757.8144271,124.761,124.761
1769391758.3146768,124.947,124.947
1769391758.8148603,125.356,125.356
1769391759.3150582,125.678,125.678
1769391759.8153849,125.432,125.432
1769391760.3156285,124.879,124.879
1769391760.8158185,124.712,124.712
1769391761.3160517,124.921,124.921
1769391761.8163092,125.326,125.326
1769391762.31656,125.603,125.603
1769391762.8167362,125.363,125.363
1769391763.316913,124.896,124.896
1769391763.8171108,124.773,124.773
1769391764.3173776,124.987,124.987
1769391764.8176491,125.376,125.376
1769391765.3179348,125.647,125.647
1769391765.81818,125.317,125.317
1769391766.3184643,124.894,124.894
1769391766.8187637,124.721,124.721
1769391767.3190415,124.882,124.882
1769391767.8192954,125.336,125.336
1769391768.3197494,125.657,125.657
1769391768.8200176,125.318,125.318
1769391769.3202922,124.77,124.77
1769391769.8205872,124.61,124.61
1769391770.3208525,124.868,124.868
1769391770.8211136,125.343,125.343
1769391771.3213701,125.552,125.552
1769391771.8216481,125.149,125.149
1769391772.3219194,124.629,124.629
1769391772.8222406,124.649,124.649
1769391773.322529,124.992,124.992
1769391773.8227806,125.42,125.42
1769391774.323063,125.551,125.551
1769391774.8234332,125.097,125.097
1769391775.323722,124.712,124.712
1769391775.82401,124.716,124.716
1769391776.3242958,125.019,125.019
1769391776.8246005,125.472,125.472
1769391777.324943,125.618,125.618
1769391777.8252416,125.104,125.104
1769391778.3255308,124.695,124.695
1769391778.825839,124.768,124.768
1769391779.326088,125.093,125.093
1769391779.8262887,125.57,125.57
1769391780.326572,125.544,125.544
1769391780.8268576,124.982,124.982
1769391781.3271463,124.637,124.637
1769391781.8274372,124.714,124.714
1769391782.3277104,125.145,125.145
1769391782.8279762,125.602,125.602
1769391783.328275,125.481,125.481
1769391783.8285534,124.788,124.788
1769391784.3288414,124.077,124.077
1769391784.8291192,123.976,123.976
1769391785.3294346,124.383,124.383
1769391785.8297138,124.742,124.742
1769391786.3299901,124.512,124.512
1769391786.8302498,123.982,123.982
1769391787.3305025,123.811,123.811
1769391787.8307955,124.004,124.004
1769391788.3310676,124.48,124.48
1769391788.83132,124.781,124.781
1769391789.331591,124.435,124.435
1769391789.8318622,123.928,123.928
1769391790.332144,123.863,123.863
1769391790.8324156,124.083,124.083
1769391791.3326514,124.543,124.543
1769391791.8328395,124.782,124.782
1769391792.3330948,124.349,124.349
1769391792.8333757,123.898,123.898
1769391793.3336294,123.886,123.886
1769391793.8338466,124.224,124.224
1769391794.3341353,124.719,124.719
1769391794.8344066,124.737,124.737
1769391795.3346696,124.208,124.208
1769391795.8349304,123.88,123.88
1769391796.3352134,123.909,123.909
1769391796.8354776,124.257,124.257
1769391797.3357103,124.695,124.695
1769391797.8359084,124.553,124.553
1769391798.3361259,124.025,124.025
1769391798.8364234,123.765,123.765
1769391799.3366897,123.91,123.91
1769391799.8369348,124.319,124.319
1769391800.3371975,124.722,124.722
1769391800.837457,124.442,124.442
1769391801.337702,123.891,123.891
1769391801.8379955,123.815,123.815
1769391802.3382778,124.055,124.055
1769391802.8385391,124.483,124.483
1769391803.3388221,124.656,124.656
1769391803.8390782,124.214,124.214
1769391804.3392823,123.813,123.813
1769391804.8397372,123.799,123.799
1769391805.3399417,124.13,124.13
1769391805.8401415,124.563,124.563
1769391806.340412,124.594,124.594
1769391806.8406477,124.106,124.106
1769391807.3409038,123.806,123.806
1769391807.841185,123.838,123.838
1769391808.3414702,124.263,124.263
1769391808.8417082,124.706,124.706
1769391809.3419707,124.479,124.479
1769391809.8422236,123.957,123.957
1769391810.3424652,123.797,123.797
1769391810.8427026,123.946,123.946
1769391811.342997,124.371,124.371
1769391811.8432953,124.714,124.714
1769391812.3435755,124.35,124.35
1769391812.8438532,123.893,123.893
1769391813.344127,123.809,123.809
1769391813.844437,124.067,124.067
1769391814.3447223,124.559,124.559
1769391814.8449717,124.692,124.692
1769391815.3451612,124.261,124.261
1769391815.8453374,123.916,123.916
1769391816.3455522,123.895,123.895
1769391816.8457835,124.282,124.282
1769391817.3460414,124.738,124.738
1769391817.8462071,124.65,124.65
1769391818.3463964,124.105,124.105
1769391818.846556,123.813,123.813
1769391819.346748,123.958,123.958
1769391819.847017,124.412,124.412
1769391820.3472931,124.745,124.745
1769391820.8475475,124.424,124.424
1769391821.3477967,123.9,123.9
1769391821.848053,123.746,123.746
1769391822.3483617,124.02,124.02
1769391822.8486507,124.554,124.554
1769391823.3489256,124.726,124.726
1769391823.8491855,124.15,124.15
1769391824.3494916,123.751,123.751
1769391824.8497841,123.818,123.818
1769391825.350045,124.209,124.209
1769391825.8502958,124.609,124.609
1769391826.3505623,124.522,124.522
1769391826.8508084,123.996,123.996
1769391827.35106,123.726,123.726
1769391827.8513186,123.918,123.918
1769391828.3515832,124.32,124.32
1769391828.8517885,124.58,124.58
1769391829.3520741,124.274,124.274
1769391829.852368,123.853,123.853
1769391830.3526604,123.784,123.784
1769391830.85295,124.084,124.084
1769391831.3532045,124.543,124.543
1769391831.8533726,124.582,124.582
1769391832.35357,124.07,124.07
1769391832.853774,123.694,123.694
1769391833.354061,123.793,123.793
1769391833.8542833,124.195,124.195
1769391834.3544855,124.631,124.631
1769391834.8546913,124.49,124.49
1769391835.3549657,123.942,123.942
1769391835.8552506,123.734,123.734
1769391836.3555074,123.914,123.914
1769391836.855694,124.368,124.368
1769391837.3559089,124.634,124.634
1769391837.8561766,124.229,124.229
1769391838.3564498,123.77,123.77
1769391838.8566272,123.722,123.722
1769391839.3568268,124.036,124.036
1769391839.8571072,124.594,124.594
1769391840.3574183,124.611,124.611
1769391840.8577054,124.027,124.027
1769391841.3579803,123.821,123.821
1769391841.8582249,123.966,123.966
1769391842.3584726,124.359,124.359
1769391842.8587146,124.694,124.694
1769391843.3589864,124.419,124.419
1769391843.859186,123.901,123.901
1769391844.3594143,123.778,123.778
1769391844.8595972,124.017,124.017
1769391845.359824,124.476,124.476
1769391845.859985,124.619,124.619
1769391846.360161,124.137,124.137
1769391846.8604095,123.775,123.775
1769391847.3606956,123.842,123.842
1769391847.860982,124.183,124.183
1769391848.361262,124.553,124.553
1769391848.86149,124.355,124.355
1769391849.3616688,123.85,123.85
1769391849.8619273,123.775,123.775
1769391850.3621643,124.003,124.003
1769391850.86243,124.438,124.438
1769391851.3626473,124.59,124.59
1769391851.8628402,124.143,124.143
1769391852.3630984,123.759,123.759
1769391852.8633964,123.771,123.771
1769391853.3636563,124.112,124.112
1769391853.863845,124.519,124.519
1769391854.364056,124.384,124.384
